Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Resultado de Intermediação Financeira;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;Outras Receitas/Despesas Operacionais;_14;_15;_16;_17;_18;_19;_20;_21;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);_22
dado-instituições-individuais-DR-09-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;3.383;7.822;-433;0;0;10.772;-5.631;0;0;0;-12.774;-18.405;-7.633;6;2;-7.855;-11.695;-14;-645;1.117;-1.849;-20.933;-28566.0;-158.0;-28725.0;47249.0;0.0;18525.0;0.0;
dado-instituições-individuais-DR-09-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-06-01;0;256;0;0;0;257;0;0;0;0;0;0;257;17.659;0;-10.314;-11.440;-1.997;0;14.813;-13.715;-4.994;-4737.0;0.0;-4737.0;1892.0;0.0;-2845.0;0.0;
dado-instituições-individuais-DR-09-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-06-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-43;-29;1;0;55;-1;-18;-18.0;15.0;-3.0;0.0;0.0;-3.0;0.0;
dado-instituições-individuais-DR-09-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-06-01;0;0;0;0;0;0;-40;0;0;0;0;-40;-40;0;0;-219;-6.434;-391;0;62.826;-58.936;-3.154;-3194.0;0.0;-3194.0;1435.0;0.0;-1759.0;0.0;
dado-Instituições-Individuais-DR-12-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-12-01;1.346.837;263.849;-18.605;30.117;0;1.622.198;-984.459;0;0;0;41.661;-942.798;679.400;8.427;463;-58.513;-532.610;-40.759;186.695;8.644;-119.023;-546.677;132724.0;-191.0;132533.0;26907.0;-8619.0;150821.0;0.0;
dado-Instituições-Individuais-DR-12-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-12-01;0;23;0;0;0;23;0;0;0;0;0;0;23;29.314;0;-5.181;-8.702;-2.914;0;3.338;-843;15.012;15035.0;0.0;15035.0;-5942.0;0.0;9093.0;0.0;
dado-Instituições-Individuais-DR-12-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.460;-2.785;0;0;0;0;-4.245;-4245.0;0.0;-4245.0;1910.0;0.0;-2335.0;0.0;
dado-instituições-individuais-DR-12-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-12-01;1.744.870;918.631;1.887;44.019;76.969;2.786.376;-1.983.804;0;0;0;-235.265;-2.219.069;567.308;33.905;9.371;-79.499;-611.432;-38.473;304.080;77.797;-89.855;-394.106;173202.0;-1819.0;171383.0;78064.0;-8215.0;241232.0;0.0;
dado-instituições-individuais-DR-12-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;0;68.189;0;0;0;68.189;-69.239;0;0;0;0;-69.239;-1.050;1.255;0;-14.548;-16.215;-101;0;3;-1;-29.607;-30657.0;0.0;-30657.0;13706.0;0.0;-16951.0;0.0;
dado-instituições-individuais-DR-12-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-12-01;0;586;0;0;0;586;0;0;0;0;0;0;586;16.673;0;-6.319;-9.601;-1.505;0;3.709;-239;2.719;3304.0;0.0;3304.0;-1305.0;0.0;2000.0;0.0;
dado-instituições-individuais-DR-12-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;0;0;0;0;0;0;-46;0;0;0;0;-46;-46;0;0;-278;-8.989;-247;-1.210;15.447;-51.725;-47.003;-47049.0;-38782.0;-85831.0;378131.0;0.0;292300.0;0.0;
dado-instituições-individuais-DR-12-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-12-01;3.850.311;1.231.517;-982.620;99.959;119.933;4.319.100;-2.603.190;0;0;0;171.538;-2.431.652;1.887.448;54.003;659;-101.869;-1.035.186;-158.820;187.734;129.702;-162.992;-1.086.768;800680.0;2262.0;802942.0;-224873.0;-11309.0;566760.0;0.0;
dado-instituições-individuais-DR-12-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-12-01;0;794.975;0;0;0;794.975;-804.167;0;0;0;0;-804.167;-9.192;5.938;0;-20.715;-41.760;-404;4.308;327;-1.521;-53.828;-63019.0;0.0;-63019.0;30101.0;0.0;-32918.0;0.0;
dado-instituições-individuais-DR-12-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-12-01;726.177;-201.994;0;0;0;524.184;-438.929;0;0;-1.331;-247.226;-687.485;-163.302;254.319;0;-139.042;-253.421;-59.731;-1.671;327.383;-121.124;6.715;-156587.0;410444.0;253857.0;-81239.0;-20922.0;151697.0;0.0;
dado-instituições-individuais-DR-12-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;10.006;456.050;-2.837;0;0;463.218;-34.726;0;0;0;-7.751;-42.477;420.741;8.905;0;-28.664;-24.956;-517;-157;1.328;-1.694;-45.756;374986.0;-2.0;374983.0;-184635.0;-673.0;189675.0;0.0;
dado-instituições-individuais-DR-12-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;114.295;193.259;-132.814;23.768;0;198.507;-381.763;-5.887;0;0;-365;-388.015;-189.507;14.324;855;-29.004;-35.933;-785;-6.796;18.082;-11.063;-50.320;-239827.0;-2752.0;-242579.0;111154.0;-8964.0;-140389.0;0.0;
dado-instituições-individuais-DR-12-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-12-01;0;345;0;0;0;346;0;0;0;0;0;0;346;21.451;0;-3.349;-9.336;-1.911;0;3.830;-3.874;6.810;7156.0;0.0;7156.0;-2847.0;0.0;4308.0;0.0;
dado-instituições-individuais-DR-12-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-12-01;0;30;0;0;0;30;0;0;0;0;0;0;30;0;0;0;-75;-1;0;0;0;-76;-46.0;0.0;-46.0;0.0;0.0;-46.0;0.0;
dado-instituições-individuais-DR-12-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-12-01;0;0;0;0;0;0;-6.067;0;0;0;0;-6.067;-6.067;0;0;-215;-28.403;0;93.058;18.854;-11.945;71.348;65281.0;116381.0;181662.0;11399.0;0.0;193062.0;0.0;
