Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
dado-Instituições-Individuais-resumo-09-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-09-01;14195520.0;9973169.0;13740662.0;7131542.0;454857.0;174891.0;2.0;0.0
dado-Instituições-Individuais-resumo-09-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-09-01;12760087.0;0.0;12756113.0;12725534.0;3974.0;-20266.0;2.0;2.0
dado-Instituições-Individuais-resumo-09-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;8228405.0;1463932.0;7633829.0;7471665.0;594576.0;-87420.0;2.0;0.0
dado-Instituições-Individuais-resumo-09-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;1278458.0;117597.0;962328.0;699409.0;316130.0;271211.0;2.0;0.0
dado-Instituições-Individuais-resumo-09-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;744065.0;0.0;234233.0;170494.0;509832.0;201799.0;2.0;0.0
dado-Instituições-Individuais-resumo-09-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-09-01;38040.0;0.0;12006.0;0.0;26034.0;-2962.0;3.0;0.0
dado-Instituições-Individuais-resumo-09-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-09-01;24485.0;0.0;23.0;0.0;24462.0;-33.0;2.0;0.0
dado-Instituições-Individuais-resumo-12-22.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2022-12-01;20541658.0;9788674.0;18975372.0;18370606.0;1566286.0;150821.0;3.0;3.0
dado-Instituições-Individuais-resumo-12-22.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2022-12-01;58249.0;0.0;26402.0;0.0;31848.0;9093.0;3.0;0.0
dado-Instituições-Individuais-resumo-12-22.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2022-12-01;24859.0;0.0;1156.0;0.0;23703.0;-2335.0;2.0;2.0
dado-Instituições-Individuais-resumo-12-23.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2023-12-01;36141586.0;16105550.0;33759140.0;32625849.0;2382446.0;241232.0;3.0;3.0
dado-Instituições-Individuais-resumo-12-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-12-01;3128017.0;0.0;3126611.0;3119242.0;1406.0;-16951.0;2.0;2.0
