Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;Column1
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO CHAPECOZINHO - SICOOB VALCREDI SUL;2090126;;;;b3S;2;9;PASSOS MAIA;SC;01/09/2023;780302;510221;688348;578739;91954;2360;0;15;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED ELEVA LTDA.;95163002;;;;b3S;2;9;SANTO ANGELO;RS;01/09/2023;773026;506476;687404;653683;85621;4490;0;8;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DO ESTADO DE SÃO PAULO - SICREDI NOROESTE SP;3065046;;;;b3S;2;9;SAO JOSE DO RIO PRETO;SP;01/09/2023;773023;416823;689860;573473;83164;5884;0;9;
dado-Instituições-Individuais-resumo-09-23.csv;STARA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;17359351;STARA FINANCEIRA S.A. - CFI - PRUDENCIAL;;83711;n1;2;14;NAO-ME-TOQUE;RS;01/09/2023;771478;725405;614984;593417;156494;9583;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAPANEMA;1637949;;;;b3S;2;9;PRESIDENTE PRUDENTE;SP;01/09/2023;766974;334812;646954;585078;120021;2472;0;15;
dado-Instituições-Individuais-resumo-09-23.csv;STONE SOCIEDADE DE CRÉDITO DIRETO S.A.;34590184;STONE IP - PRUDENCIAL;;84686;n1;3;43;SAO PAULO;SP;01/09/2023;766951;0;33765;0;733186;7090;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DOS CREAS E DEMAIS ÁREAS TECNOLÓGICAS - CREDCREA;5979692;;;;b3S;2;9;FLORIANOPOLIS;SC;01/09/2023;758674;444405;639612;590345;119062;2128;0;23;
dado-Instituições-Individuais-resumo-09-23.csv;BANCO TRICURY S.A.;57839805;BCO TRICURY S.A. - PRUDENCIAL;;81696;b2;2;8;SAO PAULO;SP;01/09/2023;758213;358472;484983;464494;273230;9251;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.;19540550;ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL;;85771;n4;2;41;JOINVILLE;SC;01/09/2023;755578;2;701990;377642;53588;-2716;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDIBOM LTDA. - SICOOB CREDIBOM;21670187;;;;b3S;2;9;BOM DESPACHO;MG;01/09/2023;750186;348578;645629;588002;104557;6123;0;7;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE FRUTAL LTDA.   SICOOB FRUTAL;71419600;;;;b3S;2;9;FRUTAL;MG;01/09/2023;742458;375376;635916;529845;106543;5021;0;8;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ;9512539;;;;b3S;2;9;ITAJAI;SC;01/09/2023;740556;594382;612331;552660;128224;4310;0;22;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO E NEGÓCIOS - SICOOB INTEGRAÇÃO;8742188;;;;b3S;2;9;CUIABA;MT;01/09/2023;729487;519906;633756;564460;95731;4303;0;24;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CREDITO CREDIMOTA   SICOOB CREDIMOTA;66788142;;;;b3S;2;9;CANDIDO MOTA;SP;01/09/2023;728342;416061;649008;530338;79335;4776;0;23;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO COOCRELIVRE;53935029;;;;b3S;2;9;ORLANDIA;SP;01/09/2023;725571;228163;523526;410161;202044;6851;0;13;
dado-Instituições-Individuais-resumo-09-23.csv;ACG INSTITUIÇÃO DE PAGAMENTO S.A.;10868663;ACG IP - PRUDENCIAL;;86093;n4;2;41;SAO PAULO;SP;01/09/2023;724698;51671;685747;621026;38951;4400;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA VANGUARDA - CRESOL VANGUARDA;3965737;;;;b3S;2;9;CHAPECO;SC;01/09/2023;721340;558636;656896;296190;64443;-458;0;19;
dado-Instituições-Individuais-resumo-09-23.csv;GRANITO INSTITUIÇÃO DE PAGAMENTO S.A.;22177858;GRANITO IP - PRUDENCIAL;;86189;n4;2;41;BARUERI;SP;01/09/2023;720302;0;778129;0;-57826;-8142;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO UNIÃO CENTRO OESTE LTDA. - SICOOB UNIÃO CENTRO OESTE;26178111;;;;b3S;2;9;LAGOA DA PRATA;MG;01/09/2023;720057;321369;613130;507590;106927;5240;0;6;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DE MINAS GERAIS - CRESOL MINAS GERAIS;8624548;;;;b3S;2;9;MURIAE;MG;01/09/2023;719632;507229;644919;366969;74713;2043;0;22;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOVOS CAMPOS - SICOOB NOVOS CAMPOS;78862083;;;;b3S;2;9;CAMPOS NOVOS;SC;01/09/2023;716125;444257;636040;423663;80085;2452;0;13;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO CREDICARPA LTDA. - SICOOB CREDICARPA;23949522;;;;b3S;2;9;CARMO DO PARANAIBA;MG;01/09/2023;714523;436849;556351;385200;158172;7548;0;4;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO DE PRODUTORES RURAIS E DE LIVRE ADMISSÃO DO TRIÂNGULO LTDA    SICOOB CREDITRIL;41669227;;;;b3S;2;9;UBERLANDIA;MG;01/09/2023;713252;171828;595066;584037;118186;10218;0;8;
dado-Instituições-Individuais-resumo-09-23.csv;M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;7747410;M PAGAMENTOS S.A. CFI - PRUDENCIAL;;83515;n1;2;14;SAO PAULO;SP;01/09/2023;711963;337408;525700;495082;186263;-10521;2;0;
dado-Instituições-Individuais-resumo-09-23.csv;SICOOB UNIMAIS METROPOLITANA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO;259231;;;;b3S;2;9;SANTOS;SP;01/09/2023;711207;425429;600774;579089;110433;2188;0;28;
dado-Instituições-Individuais-resumo-09-23.csv;COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI ARACAJU - SICREDI ARACAJU;2923389;;;;b3S;2;9;ARACAJU;SE;01/09/2023;708026;276690;621306;556895;86719;3853;0;9;
dado-Instituições-Individuais-resumo-09-23.csv;SERVNET INSTITUIÇÃO DE PAGAMENTO LTDA.;29759316;SERVNET IP - PRUDENCIAL;;86701;n4;2;41;UBERLANDIA;MG;01/09/2023;701060;11187;683108;5262;17952;4515;1;0;
dado-Instituições-Individuais-resumo-09-23.csv;AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.;5940203;AGENCIA FOMENTO EST RJ S.A. - PRUDENCIAL;;81139;n1;1;30;RIO DE JANEIRO;RJ;01/09/2023;697118;355957;169076;99143;528042;-373;1;0;
