Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Captações;_2;_3;_4;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);_16
dado-instituições-individuais-passivo-09-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;129031.0;129031.0;;;;
dado-instituições-individuais-passivo-09-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;11391.0;11391.0;;;;
dado-instituições-individuais-passivo-09-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-09-01;442.332;16.325.053;30.080.510;1.515;0;46.849.409;1.856.654;176.917;0;2.036.716;0;0;2.213.633;12.703;50.932.399;775782.0;2214710.0;53922891.0;;;;
dado-instituições-individuais-passivo-09-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-09-01;0;0;6.086.035;317.699;0;6.403.734;371.852;0;0;0;0;355.956;355.956;0;7.131.542;0.0;6609121.0;13740662.0;;;;
dado-instituições-individuais-passivo-09-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-09-01;0;43.068;12.682.466;0;0;12.725.534;0;0;0;0;0;0;0;0;12.725.534;0.0;30578.0;12756113.0;;;;
dado-instituições-individuais-passivo-09-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;66.097;0;6.952.690;0;0;7.018.786;157.295;124.795;128.572;0;0;0;253.367;42.217;7.471.665;13702.0;148462.0;7633829.0;;;;
dado-instituições-individuais-passivo-09-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;405;0;692.049;0;0;692.453;0;6.955;0;0;0;0;6.955;0;699.409;0.0;262919.0;962328.0;;;;
dado-instituições-individuais-passivo-09-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;0;170.494;0;0;0;170.494;0;0;0;0;0;0;0;0;170.494;0.0;63739.0;234233.0;;;;
dado-instituições-individuais-passivo-09-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;12006.0;12006.0;;;;
dado-instituições-individuais-passivo-09-24.csv;DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;2927433.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;16.0;RIO DE JANEIRO;RJ;2024-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;23.0;23.0;;;;
