Nome da Origem;Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial_1;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;_2;Arrendamento Mercantil;_3;_4;_5;_6;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);_7
dado-Instituições-Individuais-ativo-09-23.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;386.0;844441.0;0.0;0;0;0;0;0;0;0;25772.0;0.0;1177.0;871777.0;0.0;871777.0;
dado-Instituições-Individuais-ativo-09-23.csv;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2023-09-01;17.0;0.0;0.0;0;0;0;0;0;0;0;368554.0;5798.0;59636.0;434004.0;0.0;434004.0;
dado-Instituições-Individuais-ativo-09-23.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2023-09-01;1951.0;10182.0;0.0;0;0;0;0;0;0;0;28598.0;125.0;0.0;40856.0;0.0;40856.0;
dado-Instituições-Individuais-ativo-09-24.csv;BANCO MASTER S/A;33923798.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;2.0;RIO DE JANEIRO;RJ;2024-09-01;333592.0;1017903.0;24026314.0;14.384.458;13.532.867;0;0;0;0;0;14240430.0;3268541.0;1915721.0;58335368.0;0.0;58335368.0;
dado-Instituições-Individuais-ativo-09-24.csv;WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n1;2.0;14.0;RIO DE JANEIRO;RJ;2024-09-01;9324.0;716199.0;1094857.0;3.856.177;3.255.651;0;0;0;0;0;8939161.0;166598.0;13729.0;14195520.0;0.0;14195520.0;
dado-Instituições-Individuais-ativo-09-24.csv;BANCO MASTER DE INVESTIMENTO S.A.;9526594.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b2;2.0;13.0;RIO DE JANEIRO;RJ;2024-09-01;866.0;12591203.0;43067.0;0;0;0;0;0;0;0;86667.0;10716.0;27568.0;12760087.0;0.0;12760087.0;
dado-Instituições-Individuais-ativo-09-24.csv;BANCO VOITER S.A.;61024352.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;11976.0;2988912.0;2336975.0;1.323.733;1.279.237;0;0;0;0;0;1232122.0;204815.0;174367.0;8228405.0;0.0;8228405.0;
dado-Instituições-Individuais-ativo-09-24.csv;BANCO LETSBANK S.A.;58497702.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;1.0;0.0;1028504.0;111.179;101.499;0;0;0;0;0;113259.0;22407.0;12789.0;1278458.0;0.0;1278458.0;
dado-Instituições-Individuais-ativo-09-24.csv;BANCO MASTER MÚLTIPLO S.A.;33884941.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;b1;2.0;8.0;RIO DE JANEIRO;RJ;2024-09-01;1869.0;0.0;0.0;0;0;0;0;0;0;0;392285.0;8767.0;341143.0;744065.0;0.0;744065.0;
dado-Instituições-Individuais-ativo-09-24.csv;MASTER S/A CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS;33886862.0;BANCO MASTER - PRUDENCIAL;50201.0;80367.0;n2;2.0;15.0;RIO DE JANEIRO;RJ;2024-09-01;333.0;1000.0;0.0;0;0;0;0;0;0;0;36706.0;0.0;0.0;38040.0;0.0;38040.0;
